profile_name,prediction_source,weighting_scheme,sort_strategy,top_k,enable_risk_filters,allow_cash_fallback,max_volatility_20d_pct,max_volatility_5d_pct,turnover_rate_lower_pct,turnover_rate_upper_pct,turnover_ratio_upper_pct,risk_penalty_weight,transaction_cost,max_turnover,rerank_signal_column,rerank_signal_weight,secondary_candidate_size,secondary_screen_mode,secondary_screen_weight,local_tiebreak_start_rank,local_tiebreak_end_rank,periods,cumulative_return_before_cost,cumulative_return_after_cost,mean_period_return_before_cost,mean_period_return_after_cost,return_volatility_before_cost,return_volatility_after_cost,max_drawdown_before_cost,max_drawdown_after_cost,sharpe_before_cost,sharpe_after_cost,win_rate_before_cost,win_rate_after_cost,avg_selected_count,avg_signal_count,avg_cash_weight,avg_turnover,avg_desired_turnover,avg_execution_strength,total_transaction_cost,candidate_size,vol20_pct,vol5_pct,risk_penalty,case_slice_score,result_stock_ids,result_weight_sum,passes_case_floor,passes_cum_floor,passes_sharpe_floor,passes_drawdown_floor,guardrail_pass_count,failed_guardrails,passes_guardrails,used_drawdown_slack,attempted_drawdown_slacks
dual_cs180_v2086_v5100_rp-60_risk_adjusted_risk_adjusted_mt100,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.86,1.0,0.03,0.97,0.95,-0.6,0.001,1.0,,0.0,0,none,0.0,8,15,60,0.7458380050394013,0.6493121757007585,0.009687747381422022,0.008733096012192906,0.026951322093169902,0.027005007266849453,-0.12040314047739886,-0.1229263995788965,2.592056137855374,2.331984224582297,0.6333333333333333,0.6,5.0,5.0,1.6653345369377347e-17,0.954651369229112,1.2818695702409795,0.7891622704097834,0.05727908215374673,180,0.86,1.0,-0.6,0.03823051591198858,688008/300316/688396/600183/601877,1.0,True,True,False,False,2,"sharpe,drawdown",False,0.06,"0.02,0.04,0.06,0.08"
dual_cs180_v2086_v5100_rp-50_risk_adjusted_risk_adjusted_mt100,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.86,1.0,0.03,0.97,0.95,-0.5,0.001,1.0,,0.0,0,none,0.0,8,15,60,0.7215222154964229,0.6279609034430309,0.009450453323171466,0.00851326415425954,0.02693702522283071,0.027010357728126492,-0.12040314047739875,-0.1229263995788965,2.529907720039849,2.2728325732457026,0.65,0.5833333333333334,5.0,5.0,2.0354088784794535e-17,0.9371891689119243,1.2390945721266815,0.8027393031344924,0.05623135013471546,180,0.86,1.0,-0.5,0.03823051591198858,688008/300316/688396/600183/601877,1.0,True,True,False,False,2,"sharpe,drawdown",False,0.06,"0.02,0.04,0.06,0.08"
dual_cs120_v2086_v5100_rp-50_risk_adjusted_pred_mt100,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.86,1.0,0.03,0.97,0.95,-0.5,0.001,1.0,,0.0,0,none,0.0,8,15,60,0.6982845954124968,0.6101925791103886,0.009186622753092365,0.00829407416217439,0.025598955414745415,0.02569700818021669,-0.09915928552252362,-0.10164938232850074,2.587827420921979,2.3274857107484967,0.6166666666666667,0.6,5.0,5.0,2.2204460492503132e-17,0.8925485909179744,1.173797972656231,0.8180876799345724,0.05355291545507847,120,0.86,1.0,-0.5,0.026316031467951542,600372/601877/688396/600183/688008,1.0,False,True,False,True,2,"case,sharpe",False,0.06,"0.02,0.04,0.06,0.08"
dual_cs120_v2086_v5100_rp-50_risk_adjusted_risk_adjusted_mt100,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.86,1.0,0.03,0.97,0.95,-0.5,0.001,1.0,,0.0,0,none,0.0,8,15,60,0.7022043963166069,0.6131628855739326,0.009221810856607528,0.008321250758097634,0.02545690239093427,0.025546849307026456,-0.095826180048312,-0.09835625754166355,2.612235486118676,2.3488373007361507,0.6333333333333333,0.6166666666666667,5.0,5.0,3.3306690738754695e-17,0.9005600985098947,1.1858892175486995,0.8158058492805107,0.054033605910593696,120,0.86,1.0,-0.5,0.02171430011631417,600372/688396/688008/600183/601877,0.9999999999999999,False,True,False,True,2,"case,sharpe",False,0.06,"0.02,0.04,0.06,0.08"
dual_cs150_v2086_v598_rp-60_risk_adjusted_pred_mt100,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.86,0.98,0.03,0.97,0.95,-0.6,0.001,1.0,,0.0,0,none,0.0,8,15,60,0.7668006363664233,0.67114192881551,0.009877604449154679,0.00894366099860236,0.026616227340416142,0.026691055045229468,-0.09668037916490113,-0.09916822159451122,2.676127526615994,2.4163022605276745,0.6166666666666667,0.55,5.0,5.0,2.590520390792032e-17,0.9339434505523189,1.2505317163004679,0.7931964997533992,0.05603660703313914,150,0.86,0.98,-0.6,0.004055600246984134,688396/600029/600183/688008/300316,1.0,False,True,True,True,3,case,False,0.06,"0.02,0.04,0.06,0.08"
dual_cs180_v2086_v598_rp-60_risk_adjusted_pred_mt100,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.86,0.98,0.03,0.97,0.95,-0.6,0.001,1.0,,0.0,0,none,0.0,8,15,60,0.7585290691643738,0.6618894364566272,0.009812644477200847,0.008863877021621022,0.02706505854033849,0.027120740511208836,-0.12119914587883396,-0.12364731272766472,2.614440516189159,2.356806082610694,0.6166666666666667,0.5833333333333334,5.0,5.0,3.3306690738754695e-17,0.9487674555798266,1.2707929110028267,0.7927820794984578,0.05692604733478959,180,0.86,0.98,-0.6,0.004055600246984134,688396/600029/600183/688008/300316,1.0,False,True,False,False,1,"case,sharpe,drawdown",False,0.06,"0.02,0.04,0.06,0.08"
dual_cs120_v2086_v598_rp-60_risk_adjusted_pred_mt100,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.86,0.98,0.03,0.97,0.95,-0.6,0.001,1.0,,0.0,0,none,0.0,8,15,60,0.7366398081902572,0.6448524841293117,0.00956298482264375,0.008652760946741674,0.025659209736858674,0.025759327341985477,-0.08726420564538817,-0.09006222189288438,2.687520970296814,2.4222661448895395,0.6333333333333333,0.6,5.0,5.0,3.515706244646329e-17,0.9102238759020763,1.1982147695109597,0.8125944583051087,0.05461343255412458,120,0.86,0.98,-0.6,0.004055600246984134,688396/600029/600183/688008/300316,1.0,False,True,True,True,3,case,False,0.06,"0.02,0.04,0.06,0.08"
dual_cs120_v2086_v598_rp-80_risk_adjusted_pred_mt100,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.86,0.98,0.03,0.97,0.95,-0.8,0.001,1.0,,0.0,0,none,0.0,8,15,60,0.7336883543828494,0.6396774038200199,0.009552054379079826,0.008616854995400556,0.026335775487064575,0.02640908829085674,-0.09668037916490091,-0.09916822159451111,2.615485681574773,2.3528652088994035,0.6166666666666667,0.55,5.0,5.0,2.7755575615628914e-17,0.9351993836792672,1.2569302672994844,0.7911952373900207,0.05611196302075604,120,0.86,0.98,-0.8,0.004055600246984134,688396/600029/600183/688008/300316,1.0,False,True,False,True,2,"case,sharpe",False,0.06,"0.02,0.04,0.06,0.08"
dual_cs150_v2086_v598_rp-50_risk_adjusted_pred_mt100,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.86,0.98,0.03,0.97,0.95,-0.5,0.001,1.0,,0.0,0,none,0.0,8,15,60,0.7256102028763782,0.63251388644043,0.009458054489359598,0.008528227511392766,0.025733621417938647,0.025824040616174663,-0.08726420564538806,-0.09006222189288438,2.650346010277947,2.381421407917855,0.65,0.6,5.0,5.0,3.515706244646329e-17,0.929826977966831,1.234342068902222,0.7991544665189934,0.05578961867800986,150,0.86,0.98,-0.5,0.004055600246984134,688396/600029/600183/688008/300316,1.0,False,True,True,True,3,case,False,0.06,"0.02,0.04,0.06,0.08"
dual_cs180_v2086_v598_rp-50_risk_adjusted_pred_mt100,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.86,0.98,0.03,0.97,0.95,-0.5,0.001,1.0,,0.0,0,none,0.0,8,15,60,0.7185222864526775,0.6257705650281604,0.009424924703437136,0.008494617358555908,0.02707940007631677,0.027159125543040133,-0.12119914587883396,-0.12364731272766472,2.50980813384784,2.25543185498979,0.6166666666666667,0.55,5.0,5.0,3.3306690738754695e-17,0.9303073448812295,1.231930293772622,0.8030012086775585,0.055818440692873755,180,0.86,0.98,-0.5,0.004055600246984134,688396/600029/600183/688008/300316,1.0,False,True,False,False,1,"case,sharpe,drawdown",False,0.06,"0.02,0.04,0.06,0.08"
