profile_name,prediction_source,weighting_scheme,sort_strategy,top_k,enable_risk_filters,allow_cash_fallback,max_volatility_20d_pct,max_volatility_5d_pct,turnover_rate_lower_pct,turnover_rate_upper_pct,turnover_ratio_upper_pct,risk_penalty_weight,transaction_cost,max_turnover,periods,cumulative_return_before_cost,cumulative_return_after_cost,mean_period_return_before_cost,mean_period_return_after_cost,return_volatility_before_cost,return_volatility_after_cost,max_drawdown_before_cost,max_drawdown_after_cost,sharpe_before_cost,sharpe_after_cost,win_rate_before_cost,win_rate_after_cost,avg_selected_count,avg_signal_count,avg_cash_weight,avg_turnover,avg_desired_turnover,avg_execution_strength,total_transaction_cost,primary_candidate_size,grid_index,is_current_default_profile,rank_after_cost,is_best_profile
grid_cs40_v2090_v588_tl2_th95_tr93_rp25_mt50,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.9,0.88,0.02,0.95,0.93,0.25,0.001,0.5,60,0.08515434547990886,0.0531175790057512,0.0013862388988505948,0.0008862388988505949,0.006841725248535098,0.006841725248535098,-0.039077075585388976,-0.043575629423450724,1.461080428775981,0.9340859727744067,0.48333333333333334,0.4666666666666667,5.0,5.0,0.017660084436260038,0.5,1.6438245336631805,0.3116965864325139,0.030000000000000002,40,149,False,201,False
grid_cs45_v2090_v588_tl2_th95_tr93_rp20_mt55,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.9,0.88,0.02,0.95,0.93,0.2,0.001,0.55,60,0.08840007120012983,0.053107585555818515,0.0014402300444490972,0.0008902300444490973,0.007427972294439692,0.007427972294439693,-0.04167955539313506,-0.04679497363084284,1.3981805714628628,0.864238568747092,0.48333333333333334,0.4666666666666667,5.0,5.0,0.013718024603765571,0.5499999999999999,1.6360669678487023,0.34483420754731403,0.03300000000000001,45,243,False,202,False
grid_cs40_v2088_v590_tl2_th95_tr93_rp20_mt50,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.88,0.9,0.02,0.95,0.93,0.2,0.001,0.5,60,0.08484241195885112,0.05281467625087921,0.0013822962458227837,0.0008822962458227835,0.0069649434087676095,0.0069649434087676095,-0.039368803148152276,-0.04602826921073433,1.4311501758712175,0.9134788806636716,0.5,0.4666666666666667,5.0,5.0,0.01775185512210424,0.5,1.6585234471736388,0.3091235523596103,0.030000000000000002,40,122,False,203,False
grid_cs40_v2088_v590_tl2_th95_tr95_rp25_mt45,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.88,0.9,0.02,0.95,0.95,0.25,0.001,0.45,60,0.08147444575625862,0.05269547513750905,0.0013251157897731798,0.00087511578977318,0.006153164130959539,0.006153164130959539,-0.03527966661472259,-0.03980993625116169,1.5529483122073333,1.0255779903934803,0.5166666666666667,0.43333333333333335,5.0,5.0,0.022316308344304085,0.45,1.6464807435773388,0.28005872102268686,0.026999999999999996,40,130,False,204,False
grid_cs35_v2088_v590_tl2_th95_tr93_rp20_mt45,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.88,0.9,0.02,0.95,0.93,0.2,0.001,0.45,60,0.08027791074257751,0.05153019603505493,0.0013088129011487545,0.0008588129011487544,0.006496928675003332,0.006496928675003331,-0.03665035022029994,-0.04241407858524904,1.4526839561089058,0.9532177759732703,0.5,0.45,5.0,5.0,0.022687314917441248,0.45,1.6672193492170282,0.27672949685882464,0.026999999999999996,35,25,False,205,False
grid_cs40_v2088_v590_tl2_th95_tr95_rp20_mt45,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.88,0.9,0.02,0.95,0.95,0.2,0.001,0.45,60,0.08027106420788921,0.05152351826274448,0.0013091004481117156,0.0008591004481117155,0.006561138798230552,0.006561138798230552,-0.034288780939268126,-0.041596526553874025,1.4387833989040444,0.9442052093993931,0.5166666666666667,0.43333333333333335,5.0,5.0,0.022719914101963834,0.45,1.663127703696229,0.2772080410546463,0.026999999999999996,40,127,False,206,False
grid_cs35_v2088_v588_tl2_th95_tr95_rp25_mt55,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.88,0.88,0.02,0.95,0.95,0.25,0.001,0.55,60,0.08675694519974764,0.05151689693078221,0.0014141225743955466,0.0008641225743955466,0.007304598862189351,0.007304598862189351,-0.039337388999478584,-0.04913683804607427,1.3960222999147942,0.8530621075981337,0.5,0.45,5.0,5.0,0.013763728385246607,0.5499999999999999,1.6370445600929036,0.3446332115731964,0.03300000000000001,35,12,False,207,False
grid_cs45_v2088_v588_tl2_th95_tr95_rp25_mt45,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.88,0.88,0.02,0.95,0.95,0.25,0.001,0.45,60,0.08024131174918603,0.05149466964149463,0.0013041913696093246,0.0008541913696093243,0.00583657523369849,0.00583657523369849,-0.033870113314493966,-0.03738196769148183,1.6113315318868187,1.0553554640753324,0.5166666666666667,0.43333333333333335,5.0,5.0,0.022606642534992775,0.45,1.6504442415932858,0.2792168440362957,0.026999999999999996,45,202,False,208,False
grid_cs45_v2088_v590_tl2_th95_tr95_rp25_mt55,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.88,0.9,0.02,0.95,0.95,0.25,0.001,0.55,60,0.08653191976430508,0.05129912165284578,0.0014085404265277133,0.0008585404265277134,0.007004176237990971,0.007004176237990971,-0.03962792229069989,-0.04574468404056864,1.4501533253441632,0.8839045234510802,0.5,0.45,5.0,5.0,0.013670347206409987,0.5499999999999999,1.621404137279188,0.34825685782967913,0.03300000000000001,45,228,False,209,False
grid_cs45_v2090_v588_tl2_th95_tr93_rp20_mt50,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.9,0.88,0.02,0.95,0.93,0.2,0.001,0.5,60,0.08297049370915399,0.05099714285611734,0.0013526175916066148,0.0008526175916066147,0.006841484167947471,0.006841484167947471,-0.03895359701460199,-0.04340428391600071,1.4256941806518566,0.898681154391255,0.48333333333333334,0.4666666666666667,5.0,5.0,0.017633174391289242,0.5,1.649545172401027,0.3105540200567471,0.030000000000000002,45,242,False,210,False
