fold_id,case_type,feature,sample_count,case_mean,case_median,fold_mean,fold_median,fold_std,z_gap_vs_fold
1,false_positives,distance_to_20d_high,98,-0.12427686818385826,-0.0636945812807881,-0.07157883596634079,-0.0619916568940153,0.05215151749433073,-1.0104793637739524
1,missed_winners,rebound_from_10d_low,98,0.08496068001595554,0.062392168465196754,0.040902842686452036,0.0270270270270269,0.04916854198272143,0.8960574292600764
1,false_positives,rebound_from_10d_low,98,0.036843303582076235,0.020938693486480447,0.040902842686452036,0.0270270270270269,0.04916854198272143,-0.08256374788990864
1,missed_winners,volume_price_divergence_5d,98,0.03860544217687076,0.021666666666666598,-8.881784197001253e-19,0.006666666666666651,0.33999154537418497,0.11354824171990134
1,false_positives,volume_price_divergence_5d,98,0.09612244897959182,0.10499999999999995,-8.881784197001253e-19,0.006666666666666651,0.33999154537418497,0.28272011550699655
2,missed_winners,ret_1d,98,0.011807182763252235,0.0078969267112137,0.002380350042442571,0.0,0.022989067957188566,0.41005719493999504
2,false_positives,ret_1d,98,-0.003621352794977534,-0.0084201477209984,0.002380350042442571,0.0,0.022989067957188566,-0.2610676887204295
2,missed_winners,ret_3d,98,0.03748746534237757,0.0209052256673739,0.007186130163696865,0.0008515077741317,0.04182218435124111,0.7245277990311734
2,false_positives,ret_3d,98,-0.01993857400728052,-0.02000162043822015,0.007186130163696865,0.0008515077741317,0.04182218435124111,-0.6485721535530564
2,missed_winners,ret_5d,98,0.06069722017447805,0.0430046092415935,0.01237144585316441,0.00320124606761145,0.0541285306584635,0.8927967142916978
2,false_positives,ret_5d,98,-0.022455921393915564,-0.012277874019139,0.01237144585316441,0.00320124606761145,0.0541285306584635,-0.6434197792441718
2,missed_winners,intraday_return,98,0.011899599765075227,0.00817071572776335,0.002191981426664755,0.0,0.02146558285819411,0.4522410783131733
2,false_positives,intraday_return,98,-0.00022954452272292135,-0.00466786159597785,0.002191981426664755,0.0,0.02146558285819411,-0.1128096993864437
2,missed_winners,volume_ratio_5d,98,0.07090970954225138,0.0,0.05176827292617615,-0.00428090385913955,0.3100173061536312,0.06174312283905069
2,false_positives,volume_ratio_5d,98,0.08468846574354168,0.0388013259946521,0.05176827292617615,-0.00428090385913955,0.3100173061536312,0.10618824228171217
2,missed_winners,turnover_rate,98,3.1062530612244896,2.627,1.6062402833333331,0.97595,1.7852214376053144,0.8402390573481264
2,false_positives,turnover_rate,98,3.0771051020408158,2.7995,1.6062402833333331,0.97595,1.7852214376053144,0.823911693935567
2,missed_winners,turnover_spike_5d,98,1.0709051156428375,0.9999999999992808,1.0507108147806665,0.9950927112753731,0.30955145001706563,0.06523730016789675
2,false_positives,turnover_spike_5d,98,1.084684996979284,1.0388056910429908,1.0507108147806665,0.9950927112753731,0.30955145001706563,0.10975294154410994
2,missed_winners,volatility_5d,98,0.027718284668106816,0.02356709602138085,0.01773704111798699,0.014079890843098151,0.01330042768515276,0.7504453079551621
2,false_positives,volatility_5d,98,0.02865946957990295,0.0228070827693111,0.01773704111798699,0.014079890843098151,0.01330042768515276,0.8212088152705528
2,missed_winners,volatility_20d,98,0.02722777617509619,0.02617460506228425,0.017899382657047026,0.015805756202455203,0.009793603509432052,0.9524985883965128
2,false_positives,volatility_20d,98,0.03699535129108349,0.0311340875797837,0.017899382657047026,0.015805756202455203,0.009793603509432052,1.9498408951971016
2,missed_winners,rel_hs300_mean_ret_5d,98,0.04819050078822035,0.030746348744819553,1.080617077301819e-17,-0.0094001442637299,0.05246578995033359,0.9185128220472725
2,false_positives,rel_hs300_mean_ret_5d,98,-0.0349626407801733,-0.020983685806453,1.080617077301819e-17,-0.0094001442637299,0.05246578995033359,-0.6663892950677094
2,missed_winners,close_position_20d,98,0.7198288948899765,0.8066782920757375,0.5250730915027397,0.5581702965423303,0.29455671338512496,0.6611827011139916
2,false_positives,close_position_20d,98,0.7057640338819144,0.7490123112039038,0.5250730915027397,0.5581702965423303,0.29455671338512496,0.6134334549792664
2,missed_winners,overheat_score,98,0.6228781084727185,0.3468097554515783,0.37280250973877876,0.1456773999363408,0.5354111915507944,0.46707204234862376
2,false_positives,overheat_score,98,0.40987084290170517,0.1182566881962266,0.37280250973877876,0.1456773999363408,0.5354111915507944,0.0692333924801976
2,missed_winners,reversal_risk_score,98,0.6972857950712267,0.5888770021378413,0.4436777960491171,0.3772822793314127,0.31883485623766994,0.7954211845428276
2,false_positives,reversal_risk_score,98,0.6129452806663116,0.5186288410862123,0.4436777960491171,0.3772822793314127,0.31883485623766994,0.5308939135908558
2,missed_winners,volume_ratio_10d,98,0.2275635561716907,0.0988601568995585,0.12292449651626317,0.0384149411396458,0.4226341959097876,0.24758777370149906
2,false_positives,volume_ratio_10d,98,0.05189282640428864,-0.0423871697582471,0.12292449651626317,0.0384149411396458,0.4226341959097876,-0.16806891349401465
2,missed_winners,turnover_ratio_5d,98,0.07090511564337176,0.0,0.05071081478237786,-0.004907288721548201,0.30955145001752205,0.065237300163998
