profile_name,prediction_source,weighting_scheme,sort_strategy,top_k,enable_risk_filters,allow_cash_fallback,max_volatility_20d_pct,max_volatility_5d_pct,turnover_rate_lower_pct,turnover_rate_upper_pct,turnover_ratio_upper_pct,risk_penalty_weight,transaction_cost,max_turnover,periods,cumulative_return_before_cost,cumulative_return_after_cost,mean_period_return_before_cost,mean_period_return_after_cost,return_volatility_before_cost,return_volatility_after_cost,max_drawdown_before_cost,max_drawdown_after_cost,sharpe_before_cost,sharpe_after_cost,win_rate_before_cost,win_rate_after_cost,avg_selected_count,avg_signal_count,avg_cash_weight,avg_turnover,avg_desired_turnover,avg_execution_strength,total_transaction_cost,candidate_size,vol20_pct,vol5_pct,risk_penalty,rank_ic_mean,top5_mean_return_mean
lstm_exec_cs40_v2080_v596_rp20_mt78,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.8,0.96,0.03,0.97,0.95,0.2,0.001,0.78,60,0.5846771445938375,0.5200447278597835,0.007843043759713807,0.00714378342954811,0.016856729087113196,0.016842462640066155,-0.04073846416297844,-0.044928110249784936,3.355158202426665,3.0586117964450508,0.6,0.5833333333333334,5.0,5.0,0.003666666666863285,0.6992603301656964,1.1061120554107442,0.7261088044105787,0.041955619809941794,40,0.8,0.96,0.2,0.00858413563307822,0.017534048047474538
lstm_exec_cs45_v2084_v596_rp20_mt78,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.84,0.96,0.03,0.97,0.95,0.2,0.001,0.78,60,0.5862643150065607,0.5196103322448942,0.007864537890206743,0.007143874959083599,0.017166403894021146,0.01716439605365763,-0.04428667655027929,-0.0486723944469869,3.3036615934273628,3.0012832831354217,0.5833333333333334,0.5666666666666667,5.0,5.0,0.003934749974186156,0.7206629311231445,1.1323992135743086,0.7142998965058814,0.04323977586738868,45,0.84,0.96,0.2,0.00858413563307822,0.017534048047474538
lstm_exec_cs40_v2080_v598_rp15_mt80,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.8,0.98,0.03,0.97,0.95,0.15,0.001,0.8,60,0.5823299451932287,0.5173149943989439,0.007825232508660239,0.007120463478212962,0.017276184106985202,0.017248445129339308,-0.04113709694867784,-0.04533974760726711,3.2662626049457812,2.9768707826418317,0.6,0.5833333333333334,5.0,5.0,0.0033333333336203696,0.704769030447275,1.100419955242725,0.7371077541119241,0.042286141826836515,40,0.8,0.98,0.15,0.00858413563307822,0.017534048047474538
lstm_exec_cs40_v2080_v599_rp15_mt80,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.8,0.99,0.03,0.97,0.95,0.15,0.001,0.8,60,0.5823299451932287,0.5173149943989439,0.007825232508660239,0.007120463478212962,0.017276184106985202,0.017248445129339308,-0.04113709694867784,-0.04533974760726711,3.2662626049457812,2.9768707826418317,0.6,0.5833333333333334,5.0,5.0,0.0033333333336203696,0.704769030447275,1.100419955242725,0.7371077541119241,0.042286141826836515,40,0.8,0.99,0.15,0.00858413563307822,0.017534048047474538
lstm_exec_cs45_v2080_v596_rp20_mt80,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.8,0.96,0.03,0.97,0.95,0.2,0.001,0.8,60,0.5828292024224178,0.5159096273065389,0.007826450494985438,0.007101263509855057,0.017035814378684802,0.017032692561570726,-0.03918684060593336,-0.043680854826072535,3.312864056544041,3.0064500504320297,0.6166666666666667,0.5833333333333334,5.0,5.0,0.0034824490231652925,0.7251869851303816,1.1171994417929265,0.7385224959979966,0.04351121910782292,45,0.8,0.96,0.2,0.00858413563307822,0.017534048047474538
lstm_exec_cs50_v2080_v596_rp20_mt80,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.8,0.96,0.03,0.97,0.95,0.2,0.001,0.8,60,0.5828292024224178,0.5159096273065389,0.007826450494985438,0.007101263509855056,0.017035814378684806,0.01703269256157073,-0.03918684060593336,-0.043680854826072535,3.3128640565440404,3.006450050432029,0.6166666666666667,0.5833333333333334,5.0,5.0,0.003482449023165287,0.7251869851303816,1.1171994417929265,0.7385224959979966,0.04351121910782292,50,0.8,0.96,0.2,0.00858413563307822,0.017534048047474538
lstm_exec_cs40_v2080_v596_rp15_mt80,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.8,0.96,0.03,0.97,0.95,0.15,0.001,0.8,60,0.5801374758715099,0.5152110538090595,0.007800313742449582,0.007095544729542515,0.017176718213546827,0.017148956726456877,-0.04113709694867784,-0.04533974760726711,3.274715322619355,2.9836625933336927,0.6,0.5833333333333334,5.0,5.0,0.0033333333336136102,0.7047690129070677,1.0960074523207164,0.738506524268508,0.04228614077442408,40,0.8,0.96,0.15,0.00858413563307822,0.017534048047474538
lstm_exec_cs50_v2080_v598_rp10_mt76,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.8,0.98,0.03,0.97,0.95,0.1,0.001,0.76,60,0.5776811635949293,0.5151222071263231,0.007767945373600595,0.007088351528646275,0.016804291114185608,0.01677842038535604,-0.04018647091051153,-0.044354241137185335,3.3334015888212094,3.046462576102078,0.6,0.6,5.0,5.0,0.004000000000157701,0.6795938449543205,1.1107343176233362,0.7077028163933704,0.040775630697259244,50,0.8,0.98,0.1,0.00858413563307822,0.017534048047474538
lstm_exec_cs50_v2080_v599_rp10_mt76,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.8,0.99,0.03,0.97,0.95,0.1,0.001,0.76,60,0.5776811635949293,0.5151222071263231,0.007767945373600595,0.007088351528646275,0.016804291114185608,0.01677842038535604,-0.04018647091051153,-0.044354241137185335,3.3334015888212094,3.046462576102078,0.6,0.6,5.0,5.0,0.004000000000157701,0.6795938449543205,1.1107343176233362,0.7077028163933704,0.040775630697259244,50,0.8,0.99,0.1,0.00858413563307822,0.017534048047474538
lstm_exec_cs45_v2084_v598_rp20_mt82,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.84,0.98,0.03,0.97,0.95,0.2,0.001,0.82,60,0.584136023185376,0.5148723581897501,0.007850583226618735,0.007100016086981893,0.017672229391527752,0.017667177873748722,-0.04500143046329608,-0.049545753594794406,3.2034079842174767,2.8979695841824413,0.5833333333333334,0.5666666666666667,5.0,5.0,0.0030482371509967334,0.7505671396368415,1.1270888260677197,0.7414171141217483,0.045034028378210494,45,0.84,0.98,0.2,0.00858413563307822,0.017534048047474538
