profile_name,date,stock_id,target_weight,executed_weight,pred_return,target_return,selection_score,risk_penalty,volatility_20d,volatility_5d,turnover_rate,turnover_ratio_10d,amplitude_ratio_5d
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-12,600161,0.19810090153354717,0.140942160884112,0.5431885,-0.0169689877121123,0.8438333333333333,0.5616666666666666,0.0117181708036949,0.0062985412650852,0.6425,0.3524892116619302,-0.2805755395683452
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-12,600176,0.19713715963113854,0.09549404887245268,0.54054594,0.0594837261503927,0.8103333333333333,0.5633333333333334,0.018461349784359,0.003908635018644,1.4215,-0.0911125319693094,-0.0192926045016078
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-13,002493,0.2039813925663284,0.17226202458844075,0.55919,0.0585701981050818,0.9415384615384615,0.5846153846153846,0.0259957835352436,0.0139060802992319,0.5596,-0.2560983715520105,-0.0483383685800604
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-13,002049,0.2023873253501205,0.1846640179391739,0.55482006,0.0642050501205432,0.9230769230769231,0.38461538461538464,0.0128469748334935,0.0,2.7733,0.0,0.0
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-13,600176,0.19860230851095845,0.1682721972911545,0.5444439,0.0890527509926262,0.8805769230769231,0.42500000000000004,0.0186425506011302,0.0069394141423875,0.9456,-0.3906431241139322,-0.1122112211221123
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-13,300347,0.1975756713550031,0.1687319117330455,0.5416295,-0.0218446601941747,0.7948076923076923,0.8980769230769231,0.0209079178919327,0.0248758173010552,3.9976,0.8650393759564063,0.7484662576687116
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-13,000807,0.19745330221758953,0.13937084948321574,0.54129404,-0.0146137787056366,0.7578846153846154,0.8826923076923077,0.0287688400605182,0.0167797807194826,2.7509,0.3417126357734761,0.1431767337807605
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-14,600026,0.20592441025763153,0.16379149387338834,0.57486075,0.0308908045977011,0.9225925925925926,0.774074074074074,0.0256057708643058,0.0266885555302985,2.2381,0.2757431527346312,0.0873863187030448
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-14,603799,0.2008097820178726,0.1598888788377577,0.5605827,-0.0175392324937359,0.9055555555555554,0.5740740740740742,0.0289426003451663,0.0115436112071314,3.4814,-0.1615347377598378,-0.0269461077844311
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-14,000807,0.19846497067936256,0.18637408905905056,0.5540369,0.0064043915827996,0.8503703703703703,0.7555555555555555,0.0289682909966891,0.0123333909185518,2.9331,0.3425519059650665,-0.0715835140997832
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2026-01-14,002493,0.19750933235485874,0.19234363730336437,0.55136913,0.0866952789699569,0.8238888888888889,0.65,0.026008091585725,0.0169824467998491,0.7861,0.0365242616033756,-0.020310633213859
